REGION,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ALUPLANT,ALU,2010,85.29999999996761
Globe,ALUPLANT,ALU,2011,88.68530000006868
Globe,ALUPLANT,ALU,2012,92.07049999997824
Globe,ALUPLANT,ALU,2013,95.45579999998353
Globe,ALUPLANT,ALU,2014,98.84099999991373
Globe,ALUPLANT,ALU,2015,102.22620000007858
Globe,ALUPLANT,ALU,2016,105.61149999995112
Globe,ALUPLANT,ALU,2017,108.99679999997164
Globe,ALUPLANT,ALU,2018,112.38199999997343
Globe,ALUPLANT,ALU,2019,115.76729999997875
Globe,ALUPLANT,ALU,2020,119.15249999995403
Globe,ALUPLANT,ALU,2021,122.53780000000492
Globe,ALUPLANT,ALU,2022,125.92300000002925
Globe,ALUPLANT,ALU,2023,129.30819999998772
Globe,ALUPLANT,ALU,2024,132.693500000059
Globe,ALUPLANT,ALU,2025,136.07879999989663
Globe,ALUPLANT,ALU,2026,139.46400000000645
Globe,ALUPLANT,ALU,2027,142.8493000000911
Globe,ALUPLANT,ALU,2028,146.23450000003783
Globe,ALUPLANT,ALU,2029,149.61980000008765
Globe,ALUPLANT,ALU,2030,153.0050000000668
Globe,ALUPLANT,ALU,2031,156.3903000000211
Globe,ALUPLANT,ALU,2032,159.77550000004658
Globe,ALUPLANT,ALU,2033,163.16079999989188
Globe,ALUPLANT,ALU,2034,166.54600000008713
Globe,ALUPLANT,ALU,2035,169.9313000000158
Globe,ALUPLANT,ALU,2036,173.31649999988124
Globe,ALUPLANT,ALU,2037,176.70179999997154
Globe,ALUPLANT,ALU,2038,180.08700000007738
Globe,ALUPLANT,ALU,2039,183.472300000054
Globe,ALUPLANT,ALU,2040,186.85750000008002
Globe,ALUPLANT,ALU,2041,190.24280000010359
Globe,ALUPLANT,ALU,2042,193.6280000000319
Globe,ALUPLANT,ALU,2043,197.0132999999566
Globe,ALUPLANT,ALU,2044,200.39850000000575
Globe,ALUPLANT,ALU,2045,203.78379999992583
Globe,ALUPLANT,ALU,2046,207.16899999991944
Globe,ALUPLANT,ALU,2047,210.55429999988735
Globe,ALUPLANT,ALU,2048,213.93949999992935
Globe,ALUPLANT,ALU,2049,217.32480000003073
Globe,ALUPLANT,ALU,2050,220.7100000000696
Globe,ALUPLANT,ALU,2051,220.7100000000696
Globe,ALUPLANT,ALU,2052,220.7100000000696
Globe,ALUPLANT,ALU,2053,220.7100000000696
Globe,ALUPLANT,ALU,2054,220.7100000000696
Globe,ALUPLANT,ALU,2055,220.7100000000696
Globe,ALUPLANT,ALU,2056,220.7100000000696
Globe,ALUPLANT,ALU,2057,220.7100000000696
Globe,ALUPLANT,ALU,2058,220.7100000000696
Globe,ALUPLANT,ALU,2059,220.7100000000696
Globe,ALUPLANT,ALU,2060,220.7100000000696
Globe,ALUPLANT,ALU,2061,220.7100000000696
Globe,ALUPLANT,ALU,2062,220.7100000000696
Globe,ALUPLANT,ALU,2063,220.7100000000696
Globe,ALUPLANT,ALU,2064,220.7100000000696
Globe,ALUPLANT,ALU,2065,220.7100000000696
Globe,ALUPLANT,ALU,2066,220.7100000000696
Globe,ALUPLANT,ALU,2067,220.7100000000696
Globe,ALUPLANT,ALU,2068,220.7100000000696
Globe,ALUPLANT,ALU,2069,220.7100000000696
Globe,ALUPLANT,ALU,2070,220.7100000000696
Globe,C1BFRDF00,C1_F_RD,2010,0.123958820600096
Globe,C1BFRDF00,C1_F_RD,2011,0.5836
Globe,C1BFRDF00,C1_F_RD,2012,0.6066999999999999
Globe,C1BFRDF00,C1_F_RD,2013,0.5668000000000162
Globe,C1BFRDF00,C1_F_RD,2014,0.5287999999997927
Globe,C1BFRDF00,C1_F_RD,2015,0.49269999999986896
Globe,C1BFRDF00,C1_F_RD,2016,0.4548999999999401
Globe,C1BFRDF00,C1_F_RD,2017,0.4197999999999518
Globe,C1BFRDF00,C1_F_RD,2018,0.38710000000031963
Globe,C1BFRDF00,C1_F_RD,2019,0.3568000000000387
Globe,C1BFRDF00,C1_F_RD,2020,0.3287000000002079
Globe,C1BFRDF00,C1_F_RD,2022,0.5196438751210001
Globe,C1BFRDF00,C1_F_RD,2023,0.001614203546957346
Globe,C1BFRDF00,C1_F_RD,2024,0.00624685785884201
Globe,C1BFRDF00,C1_F_RD,2025,0.2874601911259289
Globe,C1BFRDF00,C1_F_RD,2026,0.14139477640068607
Globe,C1BFRDF00,C1_F_RD,2027,0.013320689791444788
Globe,C1BFRDF00,C1_F_RD,2028,0.03146591107467279
Globe,C1BMBRFH1,C1_F_HEA_R,2010,22.60145408504585
Globe,C1BMBRFH1,C1_F_HEA_R,2011,17.429385276033234
Globe,C1BMBRFH1,C1_F_HEA_R,2012,16.66268926701692
Globe,C1BMBRFH1,C1_F_HEA_R,2013,15.6102468580264
Globe,C1BMBRFH1,C1_F_HEA_R,2014,14.277411649001218
Globe,C1BMBRFH1,C1_F_HEA_R,2015,12.781777168184146
Globe,C1BMBRFH1,C1_F_HEA_R,2016,12.023583105051923
Globe,C1BMBRFH1,C1_F_HEA_R,2017,11.2396482399443
Globe,C1BMBRFH1,C1_F_HEA_R,2018,10.426373931002265
