REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,3.9591
Globe,ALUPLANT,2011,3.8007
Globe,ALUPLANT,2012,3.6424
Globe,ALUPLANT,2013,3.484
Globe,ALUPLANT,2014,3.3256
Globe,ALUPLANT,2015,3.1673
Globe,ALUPLANT,2016,3.0089
Globe,ALUPLANT,2017,2.8506
Globe,ALUPLANT,2018,2.6922
Globe,ALUPLANT,2019,2.5338
Globe,ALUPLANT,2020,2.3755
Globe,ALUPLANT,2021,2.2171
Globe,ALUPLANT,2022,2.0587
Globe,ALUPLANT,2023,1.9004
Globe,ALUPLANT,2024,1.742
Globe,ALUPLANT,2025,1.5836
Globe,ALUPLANT,2026,1.4253
Globe,ALUPLANT,2027,1.2669
Globe,ALUPLANT,2028,1.1085
Globe,ALUPLANT,2029,0.9502
Globe,ALUPLANT,2030,0.7918
Globe,ALUPLANT,2031,0.6335
Globe,ALUPLANT,2032,0.4751
Globe,ALUPLANT,2033,0.3167
Globe,ALUPLANT,2034,0.1584
Globe,C1BFRDF00,2010,0.5606
Globe,C1BFRDF00,2011,0.5836
Globe,C1BFRDF00,2012,0.6067
Globe,C1BFRDF00,2013,0.6067
Globe,C1BFRDF00,2014,0.6067
Globe,C1BFRDF00,2015,0.6067
Globe,C1BFRDF00,2016,0.6067
Globe,C1BFRDF00,2017,0.6067
Globe,C1BFRDF00,2018,0.6067
Globe,C1BFRDF00,2019,0.6067
Globe,C1BFRDF00,2020,0.6067
Globe,C1BFRDF00,2021,0.6067
Globe,C1BFRDF00,2022,0.5196438751210001
Globe,C1BFRDF00,2023,0.49664387512100006
Globe,C1BFRDF00,2024,0.47354387512100005
Globe,C1BFRDF00,2025,0.47354387512100005
Globe,C1BFRDF00,2026,0.47354387512100005
Globe,C1BFRDF00,2027,0.47354387512100005
Globe,C1BFRDF00,2028,0.47354387512100005
Globe,C1BFRDF00,2029,0.47354387512100005
Globe,C1BFRDF00,2030,0.47354387512100005
Globe,C1BFRDF00,2031,0.47354387512100005
Globe,C1BFRDF00,2032,0.47354387512100005
Globe,C1BFRDF00,2033,0.47354387512100005
Globe,C1BMBRFH1,2010,0.7828
Globe,C1BMBRFH1,2011,0.7306
Globe,C1BMBRFH1,2012,0.6784
Globe,C1BMBRFH1,2013,0.6263
Globe,C1BMBRFH1,2014,0.5741
Globe,C1BMBRFH1,2015,0.5219
Globe,C1BMBRFH1,2016,0.4697
Globe,C1BMBRFH1,2017,0.4175
Globe,C1BMBRFH1,2018,0.3653
Globe,C1BMBRFH1,2019,0.3131
Globe,C1BMBRFH1,2020,0.2609
Globe,C1BMBRFH1,2021,0.2193300767272
Globe,C1BMBRFH1,2022,0.16713007672719998
Globe,C1BMBRFH1,2023,0.11567318269945401
Globe,C1BMBRFH1,2024,0.06347318269945401
Globe,C1BMBRFH1,2025,0.011273182699454001
Globe,C1BMBRFH1,2026,0.011273182699454001
Globe,C1BMBRFH1,2027,0.011273182699454001
Globe,C1BMBRFH1,2028,0.011273182699454001
Globe,C1BMBRFH1,2029,0.011273182699454001
Globe,C1BMBRFH1,2030,0.011273182699454001
Globe,C1BMBRFH1,2031,0.011273182699454001
Globe,C1BMBRFH1,2032,0.011273182699454001
Globe,C1BMBRFH1,2033,0.011273182699454001
Globe,C1BMBRFH1,2034,0.011273182699454001
Globe,C1BMBRFH1,2035,0.011273182699454001
Globe,C1BMBRFH1,2036,0.000743105972254
Globe,C1BMBRFH1,2037,0.000743105972254
Globe,C1BMBRFN1,2010,0.07
Globe,C1BMBRFN1,2011,0.07
Globe,C1BMBRFN1,2012,0.07
Globe,C1BMBRFN1,2013,0.07
Globe,C1BMBRFN1,2014,0.07
Globe,C1BMBRFN1,2015,0.10500000000000001
Globe,C1BMBRFN1,2016,0.14500000000000002
Globe,C1BMBRFN1,2017,0.18500000000000003
Globe,C1BMBRFN1,2018,0.22500000000000003
Globe,C1BMBRFN1,2019,0.275
Globe,C1BMBRFN1,2020,0.325
Globe,C1BMBRFN1,2021,0.375
Globe,C1BMBRFN1,2022,0.425
Globe,C1BMBRFN1,2023,0.475
Globe,C1BMBRFN1,2024,0.525
Globe,C1BMBRFN1,2025,0.505
Globe,C1BMBRFN1,2026,0.555
Globe,C1BMBRFN1,2027,0.6050000000000001
Globe,C1BMBRFN1,2028,0.6356475278220001
Globe,C1BMBRFN1,2029,0.6499392356693001
Globe,C1BMBRFN1,2030,0.6562959506502001
Globe,C1BMBRFN1,2031,0.6553309459322001
Globe,C1BMBRFN1,2032,0.6616177934111
Globe,C1BMBRFN1,2033,0.6640334032773
Globe,C1BMBRFN1,2034,0.6625628235805999
