REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,3.8588554625635654
Globe,ALUPLANT,2011,3.9809537917382043
Globe,ALUPLANT,2012,4.101154125407162
Globe,ALUPLANT,2013,4.21954443182097
Globe,ALUPLANT,2014,4.33612051871101
Globe,ALUPLANT,2015,4.450964854230319
Globe,ALUPLANT,2016,4.56410223167
Globe,ALUPLANT,2017,4.67554617559
Globe,ALUPLANT,2018,4.785369073217375
Globe,ALUPLANT,2019,4.893574840426882
Globe,ALUPLANT,2020,5.0002308073201185
Globe,ALUPLANT,2021,5.105358764759515
Globe,ALUPLANT,2022,5.208961583170113
Globe,ALUPLANT,2023,5.311118139213434
Globe,ALUPLANT,2024,5.4118201246394255
Globe,ALUPLANT,2025,5.511137390849384
Globe,ALUPLANT,2026,5.609073359073618
Globe,ALUPLANT,2027,5.70564176302962
Globe,ALUPLANT,2028,5.80090761596253
Globe,ALUPLANT,2029,5.89486001560543
Globe,ALUPLANT,2030,5.9875634934947755
Globe,ALUPLANT,2031,6.079028383516459
Globe,ALUPLANT,2032,6.169247877308381
Globe,ALUPLANT,2033,6.258301337492161
Globe,ALUPLANT,2034,6.346156777274731
Globe,ALUPLANT,2035,6.4328929436711
Globe,ALUPLANT,2036,6.518500549107176
Globe,ALUPLANT,2037,6.602984204566048
Globe,ALUPLANT,2038,6.686406790110286
Globe,ALUPLANT,2039,6.768746910257362
Globe,ALUPLANT,2040,6.850067086540902
Globe,ALUPLANT,2041,6.930369463694913
Globe,ALUPLANT,2042,7.009640482061459
Globe,ALUPLANT,2043,7.087956683634278
Globe,ALUPLANT,2044,7.165278175057414
Globe,ALUPLANT,2045,7.241680999556717
Globe,ALUPLANT,2046,7.317149840352047
Globe,ALUPLANT,2047,7.391682727578343
Globe,ALUPLANT,2048,7.465340903140495
Globe,ALUPLANT,2049,7.538095469335306
Globe,ALUPLANT,2050,7.61000737865121
Globe,ALUPLANT,2051,7.61000737865121
Globe,ALUPLANT,2052,7.61000737865121
Globe,ALUPLANT,2053,7.61000737865121
Globe,ALUPLANT,2054,7.61000737865121
Globe,ALUPLANT,2055,7.61000737865121
Globe,ALUPLANT,2056,7.61000737865121
Globe,ALUPLANT,2057,7.61000737865121
Globe,ALUPLANT,2058,7.61000737865121
Globe,ALUPLANT,2059,7.61000737865121
Globe,ALUPLANT,2060,7.61000737865121
Globe,ALUPLANT,2061,7.61000737865121
Globe,ALUPLANT,2062,7.61000737865121
Globe,ALUPLANT,2063,7.61000737865121
Globe,ALUPLANT,2064,7.61000737865121
Globe,ALUPLANT,2065,7.61000737865121
Globe,ALUPLANT,2066,7.61000737865121
Globe,ALUPLANT,2067,7.61000737865121
Globe,ALUPLANT,2068,7.61000737865121
Globe,ALUPLANT,2069,7.61000737865121
Globe,ALUPLANT,2070,7.61000737865121
Globe,C1BFRDF00,2010,0.5605999999999999
Globe,C1BFRDF00,2011,0.5836
Globe,C1BFRDF00,2012,0.6066999999999999
Globe,C1BFRDF00,2013,0.5668000000000162
Globe,C1BFRDF00,2014,0.5287999999997927
Globe,C1BFRDF00,2015,0.49269999999986896
Globe,C1BFRDF00,2016,0.4548999999999401
Globe,C1BFRDF00,2017,0.4197999999999518
Globe,C1BFRDF00,2018,0.38710000000031963
Globe,C1BFRDF00,2019,0.3568000000000387
Globe,C1BFRDF00,2020,0.3287000000002079
Globe,C1BFRDF00,2022,0.5196438751210001
Globe,C1BFRDF00,2023,0.001614203546957346
Globe,C1BFRDF00,2024,0.00624685785884201
Globe,C1BFRDF00,2025,0.2874601911259289
Globe,C1BFRDF00,2026,0.14139477640068607
Globe,C1BFRDF00,2027,0.013320689791444788
Globe,C1BFRDF00,2028,0.03146591107467279
Globe,C1BMBRFH1,2010,22.60145408504585
Globe,C1BMBRFH1,2011,17.429385276033234
Globe,C1BMBRFH1,2012,16.66268926701692
Globe,C1BMBRFH1,2013,15.6102468580264
Globe,C1BMBRFH1,2014,14.277411649001218
Globe,C1BMBRFH1,2015,12.781777168184146
Globe,C1BMBRFH1,2016,12.023583105051923
Globe,C1BMBRFH1,2017,11.2396482399443
Globe,C1BMBRFH1,2018,10.426373931002265
Globe,C1BMBRFH1,2019,9.33546769183433
Globe,C1BMBRFH1,2020,7.679221059580146
Globe,C1BMBRFH1,2021,6.91679329967
Globe,C1BMBRFH1,2022,2.8584951489299675
Globe,C1BMBRFH1,2023,3.6478694896099992
Globe,C1BMBRFH1,2024,2.00169028961
Globe,C1BMBRFH1,2025,0.35551108960999994
Globe,C1BMBRFH1,2026,0.35551108960999994
Globe,C1BMBRFH1,2027,0.35551108960999994
Globe,C1BMBRFH1,2028,0.35551108960999994
Globe,C1BMBRFH1,2029,0.35551108960999994
Globe,C1BMBRFH1,2030,0.35551108960999994
Globe,C1BMBRFH1,2031,0.32586146473652594
Globe,C1BMBRFH1,2032,0.11069119989677488
Globe,C1BMBRFH1,2036,0.023434589941
Globe,C1BMBRFH1,2037,0.023434589941
Globe,C1BMBRFN1,2010,2.20752
Globe,C1BMBRFN1,2011,2.20752
Globe,C1BMBRFN1,2012,2.20752
Globe,C1BMBRFN1,2013,2.20752
Globe,C1BMBRFN1,2014,2.20752
Globe,C1BMBRFN1,2015,3.3112800000000004
Globe,C1BMBRFN1,2016,4.572719999999999
Globe,C1BMBRFN1,2017,5.83416
Globe,C1BMBRFN1,2018,7.095599999999999
Globe,C1BMBRFN1,2019,8.6724
Globe,C1BMBRFN1,2020,10.2492
Globe,C1BMBRFN1,2021,11.825999999999999
Globe,C1BMBRFN1,2022,13.402799999999997
Globe,C1BMBRFN1,2023,14.979599999999998
Globe,C1BMBRFN1,2024,16.5564
Globe,C1BMBRFN1,2025,15.925679999999998
Globe,C1BMBRFN1,2026,17.502479999999995
Globe,C1BMBRFN1,2027,19.079279999999994
Globe,C1BMBRFN1,2028,20.0457804374
Globe,C1BMBRFN1,2029,20.4964837361
Globe,C1BMBRFN1,2030,20.6969490997
Globe,C1BMBRFN1,2031,20.666516710899998
Globe,C1BMBRFN1,2032,20.864778732999994
Globe,C1BMBRFN1,2033,20.9409574058
Globe,C1BMBRFN1,2034,20.8945812044
Globe,C1BMBRFN1,2035,20.8676865903
Globe,C1BMBRFN1,2036,20.7857078821
Globe,C1BMBRFN1,2037,20.7442098368
Globe,C1BMBRFN1,2038,20.743495803
Globe,C1BMBRFN1,2039,20.7071167498965
Globe,C1BMBRFN1,2040,20.69025984194994
Globe,C1BMBRFN1,2041,20.743495803
Globe,C1BMBRFN1,2042,20.675804075899997
Globe,C1BMBRFN1,2043,20.7325248681
Globe,C1BMBRFN1,2044,20.803581970499998
Globe,C1BMBRFN1,2045,20.8174088966
Globe,C1BMBRFN1,2046,20.8398296279
Globe,C1BMBRFN1,2047,20.8710102361
Globe,C1BMBRFN1,2048,20.9184969697172
Globe,C1BMBRFN1,2049,20.9691006502972
Globe,C1BMBRFN1,2050,21.0301501533
Globe,C1BMBRFN1,2051,21.04392229025198
Globe,C1BMBRFN1,2052,21.1536269068
Globe,C1BMBRFN1,2053,21.1543409406
Globe,C1BMBRFN1,2054,21.1543409406
Globe,C1BMBRFN1,2055,21.1543409406
Globe,C1BMBRFN1,2056,21.1543409406
Globe,C1BMBRFN1,2057,21.222032667699995
Globe,C1BMBRFN1,2058,21.775611438200002
Globe,C1BMBRFN1,2059,22.322960708363418
Globe,C1BMBRFN1,2060,22.679794771100003
Globe,C1BMBRFN1,2061,22.6441063208
Globe,C1BMBRFN1,2062,22.6149144854
Globe,C1BMBRFN1,2063,22.57922603518976
Globe,C1BMBRFN1,2064,22.54353758490188
Globe,C1BMBRFN1,2065,22.50798269194112
Globe,C1BMBRFN1,2066,22.47865729921352
Globe,C1BMBRFN1,2067,22.442968848899998
Globe,C1BMBRFN1,2068,22.4074139559
Globe,C1BMBRFN1,2069,22.371725505700002
Globe,C1BMBRFN1,2070,22.3361706127
Globe,C1BMCHP00,2011,0.4904478639376115
Globe,C1BMCHP00,2012,0.2962320797309712
Globe,C1BMCHP00,2013,0.7423006752002235
Globe,C1BMCHP00,2014,0.7176395232001507
Globe,C1BMCHP00,2015,0.6954444863999477
Globe,C1BMCHP00,2016,0.6707833343998747
Globe,C1BMCHP00,2017,0.6461221823998018
Globe,C1BMCHP00,2018,0.623927145600057
Globe,C1BMCHP00,2019,0.5992659935999841
Globe,C1BMCHP00,2020,0.821216361600182
Globe,C1BMCHP00,2021,1.0431667296022131
Globe,C1BMCHP00,2022,1.267583212799989
Globe,C1BMCHP00,2023,1.48953358080202
Globe,C1BMCHP00,2024,1.711483948799468
Globe,C1BMCHP00,2025,1.86172830576135
Globe,C1BMCHP00,2026,1.837067153758069
Globe,C1BMCHP00,2027,1.8124060017593708
Globe,C1BMCHP00,2028,1.7877448497606727
Globe,C1BMCHP00,2029,1.7655498129636777
Globe,C1BMCHP00,2030,1.74088866096498
Globe,C1BMCHP00,2031,1.716227508957116
Globe,C1BMCHP00,2032,1.694032472160121
Globe,C1BMCHP00,2033,1.6693713201568399
Globe,C1BMCHP00,2034,1.644710168158142
Globe,C1BMCHP00,2035,1.6200490161594439
Globe,C1BMCHP00,2036,1.597853979357866
Globe,C1BMCHP00,2037,1.573192827359168
Globe,C1BMCHP00,2038,1.54853167536047
Globe,C1BMCHP00,2039,1.526336638558892
Globe,C1BMCHP00,2040,1.501675486560194
Globe,C1BMCHP00,2041,1.47542948805561
Globe,C1BMCHP00,2042,1.49743826282574
Globe,C1BMCHP00,2043,1.475243226024162
Globe,C1BMCHP00,2044,1.4505820740254642
Globe,C1BMCHP00,2045,1.4505820740254642
Globe,C1BMCHP00,2046,1.4505820740254642
Globe,C1BMCHP00,2047,1.4505820740254642
Globe,C1BMCHP00,2048,1.4505820740254642
Globe,C1BMCHP00,2049,1.4505820740254642
Globe,C1BMCHP00,2050,1.4505820740254642
Globe,C1BMCHP00,2051,1.4890122826116998
Globe,C1BMCHP00,2052,1.495717324678212
Globe,C1BMCHP00,2053,1.547970863051906
Globe,C1BMCHP00,2054,1.602804247748688
Globe,C1BMCHP00,2055,1.6652391187024398
Globe,C1BMCHP00,2056,1.6890274609468239
Globe,C1BMCHP00,2057,1.6256441546171259
Globe,C1BMCHP00,2058,1.3790326346118138
Globe,C1BMCHP00,2059,1.132421114615668
Globe,C1BMCHP00,2060,0.9599817208541238
Globe,C1BMCHP00,2061,0.9599817208541238
Globe,C1BMCHP00,2062,0.9599817208541238
Globe,C1BMCHP00,2063,0.9599817208541238
Globe,C1BMCHP00,2064,0.9599817208541238
Globe,C1BMCHP00,2065,0.9599817208541238
Globe,C1BMCHP00,2066,0.9599817208541238
Globe,C1BMCHP00,2067,0.9599817208541238
Globe,C1BMCHP00,2068,0.9599817208536654
Globe,C1BMCHP00,2069,0.9599817208541238
Globe,C1BMCHP00,2070,0.9599817208541238
Globe,C1BMHTF03,2011,0.3143696228422583
Globe,C1BMHTF03,2012,1.9353438452522382
Globe,C1BMHTF03,2013,2.508400181656228
Globe,C1BMHTF03,2014,4.800694511836174
Globe,C1BMHTF03,2015,5.729492015999814
Globe,C1BMHTF03,2016,5.347118016000958
Globe,C1BMHTF03,2017,4.964744015997759
Globe,C1BMHTF03,2018,4.582370016000378
Globe,C1BMHTF03,2019,4.199996016000288
Globe,C1BMHTF03,2020,3.820681008000132
Globe,C1BMHTF03,2021,3.438307008000042
Globe,C1BMHTF03,2022,3.055933007999952
Globe,C1BMHTF03,2023,2.673559007999862
Globe,C1BMHTF03,2024,2.291185007999772
Globe,C1BMHTF03,2025,1.9088110079996818
Globe,C1BMHTF03,2026,1.526437007999592
Globe,C1BMHTF03,2027,1.14712200000002
Globe,C1BMHTF03,2028,0.7647480000000131
Globe,C1BMHTF03,2029,0.38237400000000654
Globe,C1BMLP000,2010,1.431170519372549
Globe,C1BMLP000,2011,6.68743763234
Globe,C1BMLP000,2012,6.899604099569999
Globe,C1BMLP000,2013,6.396767320848805
Globe,C1BMLP000,2014,5.922118958295623
Globe,C1BMLP000,2015,5.4751654404229235
Globe,C1BMLP000,2016,5.015719657017204
Globe,C1BMLP000,2017,4.59235654722951
Globe,C1BMLP000,2018,4.201118880002189
Globe,C1BMLP000,2019,3.8413831965941574
Globe,C1BMLP000,2020,3.510390114892032
Globe,C1BMLP000,2022,5.459604099569999
Globe,C1BMLP000,2023,0.01681974680809543
Globe,C1BMLP000,2024,0.0645503506155563
Globe,C1BMLP000,2025,2.9455067196800546
Globe,C1BMLP000,2026,1.4365805551121784
Globe,C1BMLP000,2027,0.134185656853344
Globe,C1BMLP000,2028,0.3142464386703421
Globe,C1BMSCP00,2010,0.12586674447192
Globe,C1BMSCP00,2011,0.12094845298391999
Globe,C1BMSCP00,2012,0.11625372019992
Globe,C1BMSCP00,2013,0.11155898741592
Globe,C1BMSCP00,2014,0.10664069592792
Globe,C1BMSCP00,2015,0.10194596314392
Globe,C1BMSCP00,2016,0.09725123035991999
Globe,C1BMSCP00,2017,0.09233293887192001
Globe,C1BMSCP00,2018,0.08763820608792
Globe,C1BMSCP00,2019,0.0829434733041702
Globe,C1BMSCP00,2020,0.07824874052017021
Globe,C1BMSCP00,2021,0.8177136402870782
Globe,C1BMSCP00,2022,0.0686357162481702
Globe,C1BMSCP00,2023,0.7130109666870508
Globe,C1BMSCP00,2024,0.6581667090870365
Globe,C1BMSCP00,2025,0.6058153722867936
Globe,C1BMSCP00,2026,0.5534640354870093
Globe,C1BMSCP00,2027,0.4288104741701147
Globe,C1BMSCP00,2028,0.0400202021361702
Globe,C1BMSCP00,2029,0.0353254693521702
Globe,C1BMSCP00,2030,0.0306307365681702
Globe,C1BMSCP00,2031,0.0257124450801702
Globe,C1BMSCP00,2032,0.0210177122961702
Globe,C1BMSCP00,2033,0.0163229795121702
Globe,C1BMSCP00,2034,0.0114046880241702
Globe,C1CO00I00,2010,139.2476
Globe,C1CO00I00,2011,140.35119999981808
Globe,C1CO00I00,2012,141.4548000002097
Globe,C1CO00I00,2013,142.55829999994197
Globe,C1CO00I00,2014,143.6618999998177
Globe,C1CO00I00,2015,144.7655000001517
Globe,C1CO00I00,2016,145.86899999970208
Globe,C1CO00I00,2017,146.9725999996207
Globe,C1CO00I00,2018,148.07620000013122
Globe,C1CO00I00,2019,149.17969999962799
Globe,C1CO00I00,2020,150.0000000002612
Globe,C1CO00I00,2021,146.2780264571698
Globe,C1CO00I00,2022,147.24551830963537
Globe,C1CO00I00,2023,152.9507995580876
Globe,C1CO00I00,2024,158.3202700301425
Globe,C1CO00I00,2025,165.85248287753652
Globe,C1CO00I00,2026,165.1317400852993
Globe,C1CO00I00,2027,171.35495814984588
Globe,C1CO00I00,2028,179.56348776037765
Globe,C1CO00I00,2029,187.83156464602467
Globe,C1CO00I00,2030,192.044088994721
Globe,C1CO00I00,2031,197.29845794097022
Globe,C1CO00I00,2032,201.9763072774731
Globe,C1CO00I00,2033,206.65140074350387
Globe,C1CO00I00,2034,211.2003007857338
Globe,C1CO00I00,2035,216.04541493769258
Globe,C1CO00I00,2036,221.1487598584145
Globe,C1CO00I00,2037,226.258325239042
Globe,C1CO00I00,2038,231.38228054613984
Globe,C1CO00I00,2039,236.504629380022
Globe,C1CO00I00,2040,241.64203653859678
Globe,C1CO00I00,2041,246.26179675612903
Globe,C1CO00I00,2042,250.124132336685
Globe,C1CO00I00,2043,249.77876796308288
Globe,C1CO00I00,2044,255.76669608678486
Globe,C1CO00I00,2045,262.5637884331004
Globe,C1CO00I00,2046,268.7026628699174
Globe,C1CO00I00,2047,273.492618614766
Globe,C1CO00I00,2048,277.8588611946799
Globe,C1CO00I00,2049,282.2278035496609
Globe,C1CO00I00,2050,283.5583691672366
Globe,C1CO00I00,2051,285.06372618841687
Globe,C1CO00I00,2052,284.69941493990035
Globe,C1CO00I00,2053,281.85393972112087
Globe,C1CO00I00,2054,277.46439444220516
Globe,C1CO00I00,2055,274.66103821270093
Globe,C1CO00I00,2056,273.31838061842234
Globe,C1CO00I00,2057,270.478395937677
Globe,C1CO00I00,2058,266.691432176055
