REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,C1_F_CLS,2010,1.040250961320573
Globe,ID,ALUPLANT,C1_F_CLS,2011,1.0537884942227005
Globe,ID,ALUPLANT,C1_F_CLS,2012,1.099407453050318
Globe,ID,ALUPLANT,C1_F_CLS,2013,1.1094144608817684
Globe,ID,ALUPLANT,C1_F_CLS,2014,1.1160483003355266
Globe,ID,ALUPLANT,C1_F_CLS,2015,1.1020077512195936
Globe,ID,ALUPLANT,C1_F_CLS,2016,1.1181520561630096
Globe,ID,ALUPLANT,C1_F_CLS,2017,1.1438131415715864
Globe,ID,ALUPLANT,C1_F_CLS,2018,1.2330476549804894
Globe,ID,ALUPLANT,C1_F_CLS,2019,1.3023344126450669
Globe,ID,ALUPLANT,C1_F_CLS,2020,1.3288063368145144
Globe,ID,ALUPLANT,C1_F_CLS,2021,1.3329001580716073
Globe,ID,ALUPLANT,C1_F_CLS,2022,1.3802888716739574
Globe,ID,ALUPLANT,C1_F_CLS,2023,1.3953786379034503
Globe,ID,ALUPLANT,C1_F_CLS,2024,1.4299029956020421
Globe,ID,ALUPLANT,C1_F_CLS,2025,1.4434127569401551
Globe,ID,ALUPLANT,C1_F_CLS,2026,1.4425911283416337
Globe,ID,ALUPLANT,C1_F_CLS,2027,1.5009860314210837
Globe,ID,ALUPLANT,C1_F_CLS,2028,1.523828819821965
Globe,ID,ALUPLANT,C1_F_CLS,2029,1.5462512563933823
Globe,ID,ALUPLANT,C1_F_CLS,2030,1.5682775991248854
Globe,ID,ALUPLANT,C1_F_CLS,2031,1.5899090834248946
Globe,ID,ALUPLANT,C1_F_CLS,2032,1.5944388668188505
Globe,ID,ALUPLANT,C1_F_CLS,2033,1.6225103848453106
Globe,ID,ALUPLANT,C1_F_CLS,2034,1.6524884555481218
Globe,ID,ALUPLANT,C1_F_CLS,2035,1.672613277837451
Globe,ID,ALUPLANT,C1_F_CLS,2036,1.679248654010101
Globe,ID,ALUPLANT,C1_F_CLS,2037,1.6932234366724954
Globe,ID,ALUPLANT,C1_F_CLS,2038,1.730853291298134
Globe,ID,ALUPLANT,C1_F_CLS,2039,1.7495789326164128
Globe,ID,ALUPLANT,C1_F_CLS,2040,1.767978339801404
